설치장소,설치목적,촬영범위,촬영시간,녹화물보관기간,관리책임자,카메라번호,검색용주소,latitude,longitude,좌표변환상태
경상남도 창원시 의창구 동읍 봉강가술로 6,방범,전방100M 이내,00:00~24:00,30일,시민안전과장,,경상남도 창원시 의창구 동읍 봉강가술로 6,35.3509317780513,128.657063600061,성공
경상남도 창원시 의창구 동읍 자여로 81,방범,전방100M 이내,00:00~24:00,30일,시민안전과장,,경상남도 창원시 의창구 동읍 자여로 81,35.2762631391011,128.701615139852,성공
경상남도 창원시 의창구 동읍 동읍로19번길 2-4_1,방범,전방100M 이내,00:00~24:00,30일,시민안전과장,1,경상남도 창원시 의창구 동읍 동읍로19번길 2-4,35.2792368442755,128.68410350712,성공
경상남도 창원시 의창구 동읍 동읍로19번길 2-4_2,방범,전방100M 이내,00:00~24:00,30일,시민안전과장,2,경상남도 창원시 의창구 동읍 동읍로19번길 2-4,35.2792368442755,128.68410350712,성공
경상남도 창원시 의창구 동읍 용정길46번길 25( DC마트 앞)_1,방범,전방100M 이내,00:00~24:00,30일,시민안전과장,1,경상남도 창원시 의창구 동읍 용정길46번길 25,35.276400735346,128.705340366767,성공
경상남도 창원시 의창구 동읍 용정길46번길 25 (DC마트 앞)_2,방범,전방100M 이내,00:00~24:00,30일,시민안전과장,2,경상남도 창원시 의창구 동읍 용정길46번길 25,35.276400735346,128.705340366767,성공
경상남도 창원시 의창구 동읍 용정길46번길 46(성원전원맨션)_1,방범,전방100M 이내,00:00~24:00,30일,시민안전과장,1,경상남도 창원시 의창구 동읍 용정길46번길 46,35.2747637642961,128.70527120784,성공
경상남도 창원시 의창구 동읍 용정길46번길 46(성원전원맨션)_2,방범,전방100M 이내,00:00~24:00,30일,시민안전과장,2,경상남도 창원시 의창구 동읍 용정길46번길 46,35.2747637642961,128.70527120784,성공
경상남도 창원시 의창구 동읍 용잠리 407-8_1,방범,전방100M 이내,00:00~24:00,30일,시민안전과장,1,경상남도 창원시 의창구 동읍 용잠리 407-8,35.2783420675194,128.684599203757,성공
경상남도 창원시 의창구 동읍 용잠리 407-8_2,방범,전방100M 이내,00:00~24:00,30일,시민안전과장,2,경상남도 창원시 의창구 동읍 용잠리 407-8,35.2783420675194,128.684599203757,성공
경상남도 창원시 의창구 동읍 석산리 257-4(마룡마을 입구)_1,방범,전방100M 이내,00:00~24:00,30일,시민안전과장,1,경상남도 창원시 의창구 동읍 석산리 257-4,35.3172529176453,128.661685893451,성공
경상남도 창원시 의창구 동읍 석산리 257-4(마룡마을 입구)_2,방범,전방100M 이내,00:00~24:00,30일,시민안전과장,2,경상남도 창원시 의창구 동읍 석산리 257-4,35.3172529176453,128.661685893451,성공
