grid_id,latitude,longitude,risk_pct,risk_score,need_cctv,need_light,need_wifi,infra_need_score,vulnerability_score
G005424,35.103153316589314,128.41454404212524,0.0,0.0,1,0,1,0.5384822384689838,0.0
G005425,35.10405493011039,128.41455411340135,0.0,0.0,1,0,1,0.5384822384689838,0.0
G005426,35.10495654349459,128.4145641851247,0.0,0.0,1,1,1,1.0,0.0
G005427,35.10585815674192,128.41457425729536,0.0,0.0,1,1,1,1.0,0.0
G005513,35.10224342176728,128.41563106811964,0.0,0.0,1,0,0,0.35491625289462136,0.0
G005514,35.10314503514987,128.41564115102557,0.0,0.0,1,1,1,1.0,0.0
G005515,35.10404664839558,128.41565123437928,0.0,0.0,1,0,1,0.5384822384689838,0.0
G005516,35.10494826150441,128.4156613181808,0.0,0.0,1,0,1,0.5384822384689838,0.0
G005517,35.10584987447637,128.41567140243018,0.0,0.0,1,0,1,0.5384822384689838,0.0
G005518,35.106751487311456,128.41568148712736,0.0,0.0,1,0,1,0.5384822384689838,0.0
G005599,35.101333517433595,128.4167180699604,0.0,0.0,1,0,1,0.5384822384689838,0.0
G005600,35.102235130677386,128.41672816449508,0.0,0.0,1,0,0,0.35491625289462136,0.0
G005601,35.1031367437843,128.41673825947808,0.0,0.0,1,0,1,0.5384822384689838,0.0
G005602,35.104038356754316,128.4167483549094,0.0,0.0,1,0,1,0.5384822384689838,0.0
G005603,35.104939969587456,128.41675845078908,0.0,0.0,1,0,1,0.5384822384689838,0.0
G005604,35.10584158228372,128.41676854711713,0.0,0.0,1,0,1,0.5384822384689838,0.0
G005605,35.10674319484309,128.41677864389357,0.0,0.0,1,1,1,1.0,0.0
G005687,35.10132521669394,128.41781515381103,0.0,0.0,0,0,1,0.18356598557436246,0.0
G005688,35.102226829661724,128.4178252604222,0.0,0.0,1,0,1,0.5384822384689838,0.0
G005689,35.10312844249262,128.41783536748227,0.0,0.0,1,0,1,0.5384822384689838,0.0
G005690,35.10403005518663,128.4178454749912,0.0,0.0,1,0,1,0.5384822384689838,0.0
G005691,35.10493166774374,128.417855582949,0.0,0.0,1,1,1,1.0,0.0
G005692,35.105833280163964,128.4178656913557,0.0,0.0,1,1,1,1.0,0.0
G005693,35.10673489244729,128.41787580021133,0.0,0.0,1,1,1,1.0,0.0
G005776,35.10131690602884,128.41891223721282,0.0,0.0,1,1,1,1.0,0.0
G005777,35.10221851872029,128.41892235590052,0.0,0.0,1,0,1,0.5384822384689838,0.0
G005778,35.10312013127484,128.41893247503762,0.0,0.0,1,1,0,0.8164340144256376,0.0
G005779,35.1040217436925,128.4189425946241,0.0,0.0,1,1,1,1.0,0.0
G005780,35.104923355973256,128.41895271466,0.0,0.0,1,1,1,1.0,0.0
G005781,35.105824968117126,128.41896283514535,0.0,0.0,1,1,1,1.0,0.0
G005782,35.10672658012409,128.41897295608015,0.0,0.0,1,1,1,1.0,0.0
G005867,35.1022101978531,128.42001945092943,0.0,0.0,1,1,1,1.0,0.0
G005868,35.10311181013098,128.42002958214354,0.0,0.0,1,1,1,1.0,0.0
G005869,35.10401342227196,128.4200397138076,0.0,0.0,1,1,1,1.0,0.0
G005870,35.10491503427603,128.4200498459216,0.0,0.0,1,1,1,1.0,0.0
G005871,35.10581664614321,128.42005997848557,0.0,0.0,1,1,1,1.0,0.0
G005872,35.10671825787349,128.42007011149954,0.0,0.0,1,1,1,1.0,0.0
G005958,35.10310347906106,128.42112668879955,0.0,0.0,1,1,1,1.0,0.0
