어린이집명,소재지도로명주소,지오코딩용주소,주소변경여부,위도,경도,검색결과주소,매칭점수
창원시립 대산푸른숲어린이집,경상남도 창원시 의창구 대산면 주남로 514 엔에이치에프 창원대산1단지아파트 관리동,경상남도 창원시 의창구 대산면 주남로 514,True,35.329665977196,128.705632169128,경상남도 창원시 의창구 대산면 제동리 주남로 514,100.0
한뫼누리어린이집,경상남도 창원시 의창구 대산면 제동길43번길 79-25,경상남도 창원시 의창구 대산면 제동길43번길 79-25,False,35.338923537796,128.710121013555,경상남도 창원시 의창구 대산면 제동리 제동길43번길 79-25,100.0
청아어린이집,경상남도 창원시 의창구 동읍 의창대로900번길 8,경상남도 창원시 의창구 동읍 의창대로900번길 8,False,35.278421032838,128.688837768831,경상남도 창원시 의창구 동읍 용잠리 의창대로900번길 8,100.0
청음어린이집,경상남도 창원시 의창구 동읍 의창대로900번길 6-1,경상남도 창원시 의창구 동읍 의창대로900번길 6-1,False,35.278401125818,128.689009849303,경상남도 창원시 의창구 동읍 용잠리 의창대로900번길 6-1,100.0
꿈샘어린이집,경상남도 창원시 의창구 동읍 자여로 133-11,경상남도 창원시 의창구 동읍 자여로 133-11,False,35.273169183765,128.705596462221,경상남도 창원시 의창구 동읍 단계리 자여로 133-11,100.0
동읍다람어린이집,경상남도 창원시 의창구 동읍 의창대로915번길 17-15,경상남도 창원시 의창구 동읍 의창대로915번길 17-15,False,35.280652829076,128.690523004594,경상남도 창원시 의창구 동읍 용잠리 의창대로915번길 17,99.18
무궁화어린이집,경상남도 창원시 의창구 동읍 용잠로 37-6,경상남도 창원시 의창구 동읍 용잠로 37-6,False,35.279852829538,128.688555298694,경상남도 창원시 의창구 동읍 용잠리 용잠로 37-6,100.0
햇살나무어린이집,경상남도 창원시 의창구 동읍 동읍로83번길 3,경상남도 창원시 의창구 동읍 동읍로83번길 3,False,35.283533700408,128.681993274336,경상남도 창원시 의창구 동읍 용잠리 동읍로83번길 3,100.0
동부산솔밭어린이집,경상남도 창원시 의창구 동읍 용정길46번길 24 동부산 훼미리 5차 102호,경상남도 창원시 의창구 동읍 용정길46번길 24,True,35.276169737464,128.70443221587,경상남도 창원시 의창구 동읍 용정리 용정길46번길 24,100.0
동창원어린이집,"경상남도 창원시 의창구 동읍 용정길32번길 14 102동 105호(송정리, 동부산훼미리타운2차아파트)",경상남도 창원시 의창구 동읍 용정길32번길 14,True,35.277439553885,128.70279606837,경상남도 창원시 의창구 동읍 송정리 용정길32번길 14,100.0
칠성그린어린이집,경상남도 창원시 의창구 동읍 동읍로 212 칠성그린아파트내,경상남도 창원시 의창구 동읍 동읍로 212,True,35.293880824602,128.675961489173,경상남도 창원시 의창구 동읍 신방리 동읍로 212,100.0
창원시립 명곡어린이집,경상남도 창원시 의창구 태복산로15번길 8 창원시립명곡어린이집,경상남도 창원시 의창구 태복산로15번길 8,True,35.253940762605,128.63992517285,경상남도 창원시 의창구 도계동 태복산로15번길 8,100.0
창원시립 명곡포엘른어린이집,경상남도 창원시 의창구 명곡지구로 25,경상남도 창원시 의창구 명곡지구로 25,False,35.255198509086,128.646844098646,경상남도 창원시 의창구 명곡동 명곡지구로 25,100.0
창원시립 호산나어린이집,"경상남도 창원시 의창구 원이대로82번길 1 복지동 1층(도계동, 도계휴먼시아아파트)",경상남도 창원시 의창구 원이대로82번길 1,True,35.254990889344,128.635556022001,경상남도 창원시 의창구 도계동 원이대로82번길 1,100.0
사랑의어린이집,경상남도 창원시 의창구 명서로77번길 17 명서동,경상남도 창원시 의창구 명서로77번길 17,True,35.250984716812,128.650329461624,경상남도 창원시 의창구 명서동 명서로77번길 17,100.0
