어린이집명,소재지도로명주소
창원시립 대산푸른숲어린이집,경상남도 창원시 의창구 대산면 주남로 514 엔에이치에프 창원대산1단지아파트 관리동
한뫼누리어린이집,경상남도 창원시 의창구 대산면 제동길43번길 79-25
청아어린이집,경상남도 창원시 의창구 동읍 의창대로900번길 8
청음어린이집,경상남도 창원시 의창구 동읍 의창대로900번길 6-1
꿈샘어린이집,경상남도 창원시 의창구 동읍 자여로 133-11
동읍다람어린이집,경상남도 창원시 의창구 동읍 의창대로915번길 17-15
무궁화어린이집,경상남도 창원시 의창구 동읍 용잠로 37-6
햇살나무어린이집,경상남도 창원시 의창구 동읍 동읍로83번길 3
동부산솔밭어린이집,경상남도 창원시 의창구 동읍 용정길46번길 24 동부산 훼미리 5차 102호
동창원어린이집,"경상남도 창원시 의창구 동읍 용정길32번길 14 102동 105호(송정리, 동부산훼미리타운2차아파트)"
칠성그린어린이집,경상남도 창원시 의창구 동읍 동읍로 212 칠성그린아파트내
창원시립 명곡어린이집,경상남도 창원시 의창구 태복산로15번길 8 창원시립명곡어린이집
창원시립 명곡포엘른어린이집,경상남도 창원시 의창구 명곡지구로 25
창원시립 호산나어린이집,"경상남도 창원시 의창구 원이대로82번길 1 복지동 1층(도계동, 도계휴먼시아아파트)"
사랑의어린이집,경상남도 창원시 의창구 명서로77번길 17 명서동
무지개어린이집,경상남도 창원시 의창구 하남천서길21번길 9 (도계동)
브레인영재어린이집,경상남도 창원시 의창구 도계로60번길 9-8 브레인영재어린이집
새순어린이집,경상남도 창원시 의창구 도계로 116 새순교회 1층 (도계동)
아이사랑어린이집,경상남도 창원시 의창구 도계로95번길 13
양지어린이집,경상남도 창원시 의창구 도계로60번길 5-18
예림어린이집,"경상남도 창원시 의창구 도계로 135 관리동1층(명서동,두산위브아파트)"
키즈숲어린이집,경상남도 창원시 의창구 원이대로69번길 6-5 1층 (도계동)
하버드영재어린이집,"경상남도 창원시 의창구 태복산로7번길 36 102호, 103호 (도계동, 형제골든빌라)"
행복한아이어린이집,경상남도 창원시 의창구 원이대로69번길 6-11 (도계동)
나무향기어린이집,경상남도 창원시 의창구 명서로123번길 8 (명서동)
샘물어린이집,경상남도 창원시 의창구 명서로 72 (명서동)
성신어린이집,경상남도 창원시 의창구 지귀로 37 (명서동)
소망어린이집,경상남도 창원시 의창구 명지로93번길 6-1
신나는어린이집,경상남도 창원시 의창구 우곡로85번길 13-1
파티마어린이집,"경상남도 창원시 의창구 창이대로 45 (명서동,창원파티마병원)"
창원시립 봉곡어린이집,경상남도 창원시 의창구 창이대로 195 (봉곡동)
창원시립 사림어린이집,경상남도 창원시 의창구 창이대로397번길 17
성아어린이집,경상남도 창원시 의창구 창이대로309번길 54 (봉곡동)
새창원교회부설어린이집,경상남도 창원시 의창구 사림로149번길 42 (사림동)
자연봄어린이집,경상남도 창원시 의창구 대봉로 25 휴먼시아2단지 복지동
꿀벌어린이집,경상남도 창원시 의창구 사림로45번길 14-19
다정어린이집,경상남도 창원시 의창구 창이대로187번길 35-8
은비어린이집,경상남도 창원시 의창구 봉곡로 43 (봉곡동)
피닉스자연숲어린이집,경상남도 창원시 의창구 대봉로 27 엘에이치피닉스포레주민복지관3단지
휴먼어린이집,경상남도 창원시 의창구 봉곡로 55 (봉곡동)
경상남도청어린이집,경상남도 창원시 의창구 상남로 318
국립창원대학교 직장어린이집,경상남도 창원시 의창구 창원대학로 20 (사림동)
미래나무어린이집,경상남도 창원시 의창구 봉곡로24번길 9
창원시립 감계아내어린이집,경상남도 창원시 의창구 북면 감계로 342 덕산아내에코프리미엄2차아파트
창원시립 감계은빛어린이집,경상남도 창원시 의창구 동전로 86 110동 103호(창원 감계 힐스테이트 1차)
창원시립 무동별빛어린이집,경상남도 창원시 의창구 무동안길 31 실제지번 무동리 345번지
창원시립 무동어린이집,경상남도 창원시 의창구 북면 무동서로 24 무동센텀파라디아아파트
