grid_id,latitude,longitude,risk_pct,risk_score,need_cctv,need_light,need_wifi,infra_need_score,vulnerability_score
G000163,35.11619304388364,128.35762601870186,0.0,0.0,1,1,1,1.0,0.0
G000164,35.117094669356476,128.35763546778765,0.0,0.0,1,1,1,1.0,0.0
G000165,35.1179962946927,128.35764491729307,0.0,0.0,1,1,1,1.0,0.0
G000166,35.11889791989235,128.35765436721815,0.0,0.0,1,1,1,1.0,0.0
G000195,35.11528364965388,128.35871385854622,0.0,0.0,1,1,1,1.0,0.0
G000196,35.11618527500503,128.35872331929795,0.0,0.0,1,1,1,1.0,0.0
G000197,35.11708690021959,128.35873278046984,0.0,0.0,1,1,1,1.0,0.0
G000198,35.11798852529754,128.35874224206194,0.0,0.0,1,1,1,1.0,0.0
G000199,35.11889015023888,128.3587517040742,0.0,0.0,1,1,1,1.0,0.0
G000200,35.11979177504364,128.35876116650672,0.0,0.0,1,1,1,1.0,0.0
G000231,35.11527587110246,128.35981114663653,0.0,0.0,1,0,1,0.5072003997658586,0.0
G000232,35.11617749619501,128.35982061947385,0.0,0.0,1,0,1,0.5072003997658586,0.0
G000233,35.11707912115096,128.35983009273187,0.0,0.0,1,1,1,1.0,0.0
G000234,35.1179807459703,128.35983956641059,0.0,0.0,1,0,1,0.5072003997658586,0.0
G000235,35.11888237065304,128.35984904051006,0.0,0.0,1,1,1,1.0,0.0
G000236,35.11978399519916,128.3598585150303,0.0,0.0,1,1,1,1.0,0.0
G000237,35.12068561960867,128.3598679899713,0.0,0.0,1,1,1,1.0,0.0
G000270,35.11526808261998,128.36090843430614,0.0,0.0,1,1,1,1.0,0.0
G000271,35.1161697074536,128.36091791922902,0.0,0.0,1,0,1,0.5072003997658586,0.0
G000272,35.11707133215061,128.36092740457315,0.0,0.0,1,0,1,0.5072003997658586,0.0
G000273,35.117972956711,128.3609368903385,0.0,0.0,1,0,0,0.32916337390638484,0.0
G000274,35.11887458113479,128.36094637652516,0.0,0.0,1,1,1,1.0,0.0
G000275,35.11977620542196,128.36095586313309,0.0,0.0,1,1,1,1.0,0.0
G000276,35.120677829572514,128.36096535016236,0.0,0.0,1,1,1,1.0,0.0
G000317,35.11526028420645,128.36200572155457,0.0,0.0,1,1,1,1.0,0.0
G000318,35.11616190878081,128.362015218563,0.0,0.0,1,1,1,1.0,0.0
G000319,35.117063533218555,128.3620247159932,0.0,0.0,0,0,1,0.1780370258594738,0.0
G000320,35.11796515751968,128.36203421384516,0.0,0.0,1,0,1,0.5072003997658586,0.0
G000321,35.11886678168417,128.36204371211895,0.0,0.0,1,1,1,1.0,0.0
G000322,35.119768405712065,128.3620532108146,0.0,0.0,1,1,1,1.0,0.0
G000323,35.12067002960333,128.36206270993205,0.0,0.0,1,1,1,1.0,0.0
G000381,35.11525247586188,128.36310300838122,0.0,0.0,1,1,1,1.0,0.0
G000382,35.11615410017664,128.36311251747517,0.0,0.0,1,0,1,0.5072003997658586,0.0
G000383,35.11705572435479,128.36312202699142,0.0,0.0,1,1,1,1.0,0.0
G000384,35.11795734839631,128.36313153693,0.0,0.0,1,1,1,1.0,0.0
G000385,35.118858972301204,128.36314104729092,0.0,0.0,1,1,1,1.0,0.0
G000386,35.119760596069476,128.36315055807424,0.0,0.0,1,1,1,1.0,0.0
G000449,35.11614628164113,128.36420981596504,0.0,0.0,1,0,1,0.5072003997658586,0.0
G000450,35.11704790555934,128.36421933756733,0.0,0.0,1,1,1,1.0,0.0
G000451,35.117949529340926,128.3642288595925,0.0,0.0,1,1,1,1.0,0.0
G000452,35.11885115298588,128.36423838204053,0.0,0.0,1,1,1,1.0,0.0
G000538,35.13056441530457,128.36545970386402,0.0,0.0,1,1,1,1.0,0.0
G000539,35.13146603677619,128.365469244329,0.0,0.0,1,1,1,1.0,0.0
G000540,35.132367658111136,128.36547878521773,0.0,0.0,1,1,1,1.0,0.0
G000617,35.128753329904434,128.36653809110157,0.0,0.0,1,1,1,1.0,0.0
G000618,35.129654951388694,128.36654764281275,0.0,0.0,1,1,1,1.0,0.0
G000619,35.13055657273629,128.36655719494814,0.0,0.0,1,1,1,1.0,0.0
G000620,35.13145819394723,128.36656674750773,0.0,0.0,1,1,1,1.0,0.0
G000621,35.13235981502151,128.36657630049157,0.0,0.0,1,0,1,0.5072003997658586,0.0
G000622,35.13326143595911,128.3665858538997,0.0,0.0,1,1,1,1.0,0.0
G000640,35.1494905894639,128.36675788781483,0.0,0.0,1,1,1,1.0,0.0
G000641,35.1503922078045,128.36676744928735,0.0,0.0,1,1,1,1.0,0.0
G000642,35.15129382600841,128.36677701118455,0.0,0.0,1,1,1,1.0,0.0
G000643,35.15219544407562,128.36678657350637,0.0,0.0,1,1,1,1.0,0.0
G000644,35.153097062006125,128.36679613625284,0.0,0.0,1,1,1,1.0,0.0
G000706,35.128745477921555,128.36763555757392,0.0,0.0,1,1,1,1.0,0.0
G000707,35.12964709914482,128.36764512137862,0.0,0.0,1,1,1,1.0,0.0
