target_group,cluster_rank,top10_label,cluster_id,risk_pct_mean,infra_need_mean,vulnerability_mean,vulnerability_max,grid_n,cctv_need_rate,light_need_rate,wifi_need_rate,cctv_priority,light_priority,wifi_priority,need_facility_n,primary_facility,facility_priority_order,recommendation_type,police_distance_mean_km,police_distance_min_km,police_distance_max_km,police_access_reference,cctv_needed,light_needed,wifi_needed,longitude,latitude
노인,1,노인 TOP1,E117,65.97,0.8219629741405262,0.5422489740405051,0.5422489740405051,1,1.0,1.0,0.0,0.32916337390638484,0.4927996002341414,0.0,2,보안등,보안등 > CCTV,복수시설 보완 필요,0.8531568278265763,0.8531568278265763,0.8531568278265763,0.5~1km,True,True,False,128.70684399697336,35.20789254077249
노인,2,노인 TOP2,E75,64.265,0.7536001998829294,0.5170353819003173,0.7755,2,1.0,0.5,1.0,0.32916337390638484,0.2463998001170707,0.1780370258594738,3,CCTV,CCTV > 보안등 > Wi-Fi,복수시설 보완 필요,0.07542249658415544,0.03173301601310153,0.11911197715520935,0.5km 이내,True,True,True,128.6604197600384,35.14928803134384
노인,3,노인 TOP3,E28,46.53,1.0,0.4653,0.4653,1,1.0,1.0,1.0,0.32916337390638484,0.4927996002341414,0.1780370258594738,3,보안등,보안등 > CCTV > Wi-Fi,복수시설 보완 필요,0.40220775762275396,0.40220775762275396,0.40220775762275396,0.5km 이내,True,True,True,128.57090888779234,35.22990943323508
노인,4,노인 TOP4,E80,44.39,1.0,0.4439,0.5128,2,1.0,1.0,1.0,0.32916337390638484,0.4927996002341414,0.1780370258594738,3,보안등,보안등 > CCTV > Wi-Fi,복수시설 보완 필요,1.6867543575376933,1.6429579025520986,1.730550812523288,1~2km,True,True,True,128.66737133770582,35.25155863507311
노인,5,노인 TOP5,E68,40.0,1.0,0.4,0.4,1,1.0,1.0,1.0,0.32916337390638484,0.4927996002341414,0.1780370258594738,3,보안등,보안등 > CCTV > Wi-Fi,복수시설 보완 필요,0.13678707748185534,0.13678707748185534,0.13678707748185534,0.5km 이내,True,True,True,128.6446386304376,35.237349462094166
노인,6,노인 TOP6,E81,38.31,1.0,0.3831,0.3831,1,1.0,1.0,1.0,0.32916337390638484,0.4927996002341414,0.1780370258594738,3,보안등,보안등 > CCTV > Wi-Fi,복수시설 보완 필요,1.083803310681522,1.083803310681522,1.083803310681522,1~2km,True,True,True,128.6700281987041,35.245221466779526
노인,7,노인 TOP7,E111,38.1,1.0,0.381,0.381,1,1.0,1.0,1.0,0.32916337390638484,0.4927996002341414,0.1780370258594738,3,보안등,보안등 > CCTV > Wi-Fi,복수시설 보완 필요,0.8031053383899952,0.8031053383899952,0.8031053383899952,0.5~1km,True,True,True,128.70152462462698,35.2196668393966
노인,8,노인 TOP8,E121,54.17000000000001,0.6708366260936152,0.3633922003549114,0.3633922003549114,1,0.0,1.0,1.0,0.0,0.4927996002341414,0.1780370258594738,2,보안등,보안등 > Wi-Fi,복수시설 보완 필요,1.6321837991118264,1.6321837991118264,1.6321837991118264,1~2km,False,True,True,128.71110377378207,35.19883354468832
노인,9,노인 TOP9,E15,36.214999999999996,1.0,0.36214999999999997,0.391,2,1.0,1.0,1.0,0.32916337390638484,0.4927996002341414,0.1780370258594738,3,보안등,보안등 > CCTV > Wi-Fi,복수시설 보완 필요,3.5035705125853065,3.4536857612900014,3.553455263880611,2km 초과,True,True,True,128.55452960040472,35.15296098243912
노인,10,노인 TOP10,E37,41.82,0.8658326747812769,0.3583992067776681,0.4863,5,1.0,0.8,0.8,0.32916337390638484,0.39423968018731315,0.14242962068757906,3,보안등,보안등 > CCTV > Wi-Fi,복수시설 보완 필요,0.5691929743801174,0.43641688470661827,0.641925075866188,0.5~1km,True,True,True,128.57953892691998,35.23434104610254
