시도청,경찰서,관서명,구분,주소,위도,경도
경남청,창원중부,신월,지구대,경상남도 창원시 성산구  신사로45번길 35,35.2275862,128.6926822
경남청,창원중부,가음정,지구대,경상남도 창원시 성산구  원이대로863번길 22 ,35.2084122,128.6974935
경남청,창원중부,중앙,파출소,경상남도 창원시 성산구  원이대로566번길 27-19,35.2268364,128.6764934
경남청,창원중부,반송,파출소,경상남도 창원시 성산구  원이대로473번길 17,35.2354505,128.6699187
경남청,창원중부,사파,파출소,경상남도 창원시 성산구  대암로 113 ,35.2156019,128.7088261
경남청,창원중부,신촌,파출소,경상남도 창원시 성산구  봉양로 408,35.1839834,128.6394168
경남청,창원서부,명곡,지구대,경상남도 창원시 의창구 원이대로261번길 16-19,35.2443812,128.6510299
경남청,창원서부,의창,파출소,경상남도 창원시 의창구 의창대로266번길 11,35.26011505,128.6276164
경남청,창원서부,팔용,파출소,경상남도 창원시 의창구 창원대로397번길 30,35.236661,128.6433915
경남청,창원서부,동읍,파출소,경상남도 창원시 의창구 동읍 의창대로 902,35.2787703,128.6891872
경남청,창원서부,북면,파출소,경상남도 창원시 의창구 북면 동전리 700-11,35.31786885,128.6027248
경남청,창원서부,대산,파출소,경상남도 창원시 의창구 대산면 진산대로 415,35.3367264,128.7085791
경남청,마산중부,신마산,지구대,경상남도 창원시 마산합포구  문화남5길 52,35.1844524,128.5575471
경남청,마산중부,완월,파출소,경상남도 창원시 마산합포구 중앙남11길 12,35.1920707,128.563524
경남청,마산중부,남성,파출소,경상남도 창원시 마산합포구  3·15대로 295,35.2032111,128.5701732
경남청,마산중부,오동,파출소,경상남도 창원시 마산합포구  천하장사로 111,35.2119696,128.5748242
경남청,마산중부,교방,파출소,경상남도 창원시 마산합포구 교방서1길 40,35.2130335,128.5645971
경남청,마산중부,구산,파출소,경상남도 창원시 마산합포구 구산면 구산로562,35.12021471,128.5802672
경남청,마산중부,진동,파출소,경상남도 창원시 마산합포구 진동면 삼진의거대로 661 ,35.1171357,128.489231
경남청,마산중부,진전,파출소,경상남도 창원시 마산합포구 진전면 대실로 156,35.1021283,128.4191294
경남청,마산동부,합성,지구대,경상남도 창원시 마산회원구  합성남8길 21,35.2384536,128.585638
경남청,마산동부,양덕,지구대,경상남도 창원시 마산회원구 봉양로 35,35.2216352,128.5909861
경남청,마산동부,석전,파출소,경상남도 창원시 마산회원구 석전동6길 20,35.2306921,128.5752243
경남청,마산동부,산호,파출소,경상남도 창원시 마산합포구 산호북15길 1,35.2180363,128.5818453
경남청,마산동부,회원,파출소,경상남도 창원시 마산회원구 회원남25길 73,35.2182153,128.5644165
경남청,마산동부,삼계,파출소,경상남도 창원시 마산회원구 내서읍 삼계로 32,35.2321766,128.5012944
경남청,마산동부,중리,파출소,경상남도 창원시 마산회원구 내서읍 호원로164,35.2490288,128.5236835
경남청,진해,덕산,지구대,"경상남도 창원시 진해구  덕산로 36번길 9, 덕산지구대",35.14492545,128.7039607
경남청,진해,용원,지구대,"경상남도 창원시 진해구  용원로41번길 12, 용원지구대",35.1007058,128.8143439
경남청,진해,충무,파출소,"경상남도 창원시 진해구  벚꽃로 36, 충무파출소",35.1497147,128.6606274
경남청,진해,경화,파출소,"경상남도 창원시 진해구  충장로 329, 경화파출소",35.1538396,128.6881925
경남청,진해,웅동,파출소,"경상남도 창원시 진해구  웅동로57번가길 5, 웅동파출소",35.1255914,128.7824168
경남청,진해,자은,파출소,"경상남도 창원시 진해구 장복대로 157, 자은파출소",35.154174,128.7132688
