grid_id,latitude,longitude,cctv_exist,light_exist,wifi_exist,child_risk_pct,elderly_risk_pct
G000803,35.131442,128.368762,1,1,1,0.0,0.0
G002312,35.12411,128.385146,1,1,1,0.0,0.0
G009818,35.090183,128.459377,1,1,1,0.0,0.0
G010186,35.134335,128.463188,1,1,1,0.0,15.97
G011530,35.13423,128.476358,1,1,1,0.0,0.0
G011846,35.156752,128.478823,1,1,1,0.0,0.0
G012825,35.237841,128.48639,1,1,1,0.0,0.0
G012889,35.137756,128.486279,1,1,1,0.0,0.0
G014901,35.264789,128.49881,1,1,1,0.0,0.0
G015250,35.233216,128.50062,1,1,1,0.0,0.0
G015821,35.227779,128.50385,1,1,1,0.0,0.0
G016001,35.215148,128.504793,1,1,1,0.0,0.0
G016425,35.245783,128.507369,1,1,1,0.0,0.0
G016794,35.230438,128.509377,1,1,1,0.0,0.0
G016822,35.255682,128.50969,1,1,1,0.0,0.0
G017008,35.251165,128.510734,1,1,1,0.0,5.84
G017199,35.252057,128.511844,1,1,1,0.0,13.89
G018559,35.255599,128.519583,1,1,1,0.0,0.0
G021645,35.259046,128.538314,1,1,1,0.0,18.06
G025450,35.184938,128.558237,1,1,1,0.0,2.78
G025671,35.181322,128.559289,1,1,1,0.0,51.28
G025895,35.179509,128.560363,1,1,1,24.18,3.27
G026183,35.232692,128.562154,1,1,1,0.0,0.0
G026380,35.190309,128.5627,1,1,1,15.62,37.5
G026881,35.189388,128.564885,1,1,1,0.0,0.0
G026899,35.205616,128.565097,1,1,1,0.0,0.0
G027429,35.23084,128.567624,1,1,1,0.0,13.46
G027676,35.229027,128.5687,1,1,1,0.0,0.0
G027896,35.205577,128.569491,1,1,1,0.0,0.0
G027911,35.219101,128.569668,1,1,1,2.6,38.31
G028664,35.207351,128.57281,1,1,1,0.0,8.97
G028943,35.212751,128.573979,1,1,1,0.0,0.0
G028949,35.21816,128.574051,1,1,1,0.0,0.0
G029217,35.203725,128.574959,1,1,1,0.0,37.5
G029221,35.207332,128.575007,1,1,1,0.0,8.44
G029508,35.203716,128.576058,1,1,1,0.0,37.5
G029803,35.206411,128.577192,1,1,1,0.0,8.97
G030098,35.209105,128.578326,1,1,1,0.0,17.39
