경로당명,도로명주소,지오코딩용주소,위도,경도,검색결과주소,매칭점수
 고양 경로당 ,경상남도 창원시 의창구 동읍 백월로 540,경상남도 창원시 의창구 동읍 백월로 540,35.30504396898,128.654851833663,경상남도 창원시 의창구 동읍 화양리 백월로 540,100.0
 곡목 경로당 ,경상남도 창원시 의창구 동읍 동읍로 359번길 47,경상남도 창원시 의창구 동읍 동읍로 359,35.301407319025,128.663632824637,경상남도 창원시 의창구 동읍 금산리 동읍로 359,100.0
 금동 경로당 ,경상남도 창원시 의창구 동읍 동읍로 835번길 7,경상남도 창원시 의창구 동읍 동읍로 835,35.333109094059,128.66696254491,경상남도 창원시 의창구 동읍 금산리 동읍로 835,100.0
 금산 경로당 ,경상남도 창원시 의창구 동읍 동읍로 670번길 6,경상남도 창원시 의창구 동읍 동읍로 670,35.323401924568,128.663728827497,경상남도 창원시 의창구 동읍 금산리 동읍로 670,100.0
 기로회 경로당 ,경상남도 창원시 의창구 동읍 용잠로 45-5,경상남도 창원시 의창구 동읍 용잠로 45-5,35.279523839839,128.689182935604,경상남도 창원시 의창구 동읍 용잠리 용잠로 45-5,100.0
 남산경로당 ,경상남도 창원시 의창구 동읍 용남길 10번길 74,경상남도 창원시 의창구 동읍 용남길 10,35.271623435091,128.660716064582,경상남도 창원시 의창구 동읍 남산리 용남길 10,100.0
 내단 경로당 ,경상남도 창원시 의창구 동읍 자여로 118번길 7,경상남도 창원시 의창구 동읍 자여로 118,35.273864040626,128.704213065097,경상남도 창원시 의창구 동읍 단계리 자여로 118,100.0
 노옥 경로당 ,경상남도 창원시 의창구 동읍 노연로 143번길 12,경상남도 창원시 의창구 동읍 노연로 143,35.359451818469,128.668912996272,경상남도 창원시 의창구 동읍 노연리 노연로 143,100.0
 다호 경로당 ,경상남도 창원시 의창구 동읍 동읍로 267번 다호길 35,경상남도 창원시 의창구 동읍 동읍로 267,35.297740356555,128.672404218927,경상남도 창원시 의창구 동읍 금산리 동읍로 267,100.0
 단산경로당 ,경상남도 창원시 의창구 동읍 자여로 78번길 5,경상남도 창원시 의창구 동읍 자여로 78,35.276276229544,128.701218594192,경상남도 창원시 의창구 동읍 송정리 자여로 78,100.0
 달천 경로당 ,경상남도 창원시 의창구 동읍 노연로 69번길 27,경상남도 창원시 의창구 동읍 노연로 69,35.359529758022,128.661695345069,경상남도 창원시 의창구 동읍 노연리 노연로 69,100.0
 대한APT 경로당 ,경상남도 창원시 의창구 동읍 신방로 17(대한아파트),경상남도 창원시 의창구 동읍 신방로 17,35.285290756861,128.68285946021,경상남도 창원시 의창구 동읍 신방리 신방로 17,100.0
 덕산경로당 ,경상남도 창원시 의창구 동읍 덕산길43번길 8,경상남도 창원시 의창구 동읍 덕산길43번길 8,35.271626452576,128.674307320581,경상남도 창원시 의창구 동읍 덕산리 덕산길43번길 8,100.0
 덕천경로당 ,경상남도 창원시 의창구 동읍 동읍로 19번길 50,경상남도 창원시 의창구 동읍 동읍로 19,35.278809883631,128.684171960874,경상남도 창원시 의창구 동읍 금산리 동읍로 19,100.0
 동부산2차아파트경로당 ,경상남도 창원시 의창구 동읍 용정길32번길 14(동부산훼미리타운2차),경상남도 창원시 의창구 동읍 용정길32번길 14,35.277439553885,128.70279606837,경상남도 창원시 의창구 동읍 송정리 용정길32번길 14,100.0
