경로당명,도로명주소
 고양 경로당 ,경상남도 창원시 의창구 동읍 백월로 540
 곡목 경로당 ,경상남도 창원시 의창구 동읍 동읍로 359번길 47
 금동 경로당 ,경상남도 창원시 의창구 동읍 동읍로 835번길 7
 금산 경로당 ,경상남도 창원시 의창구 동읍 동읍로 670번길 6
 기로회 경로당 ,경상남도 창원시 의창구 동읍 용잠로 45-5
 남산경로당 ,경상남도 창원시 의창구 동읍 용남길 10번길 74
 내단 경로당 ,경상남도 창원시 의창구 동읍 자여로 118번길 7
 노옥 경로당 ,경상남도 창원시 의창구 동읍 노연로 143번길 12
 다호 경로당 ,경상남도 창원시 의창구 동읍 동읍로 267번 다호길 35
 단산경로당 ,경상남도 창원시 의창구 동읍 자여로 78번길 5
 달천 경로당 ,경상남도 창원시 의창구 동읍 노연로 69번길 27
 대한APT 경로당 ,경상남도 창원시 의창구 동읍 신방로 17(대한아파트)
 덕산경로당 ,경상남도 창원시 의창구 동읍 덕산길43번길 8
 덕천경로당 ,경상남도 창원시 의창구 동읍 동읍로 19번길 50
 동부산2차아파트경로당 ,경상남도 창원시 의창구 동읍 용정길32번길 14(동부산훼미리타운2차)
 동월 경로당 ,경상남도 창원시 의창구 동읍 주남로 128번길 68-2
 마룡 경로당 ,경상남도 창원시 의창구 동읍 석산길 51번길 8-18
 모암 경로당 ,경상남도 창원시 의창구 동읍 동읍로 213번길 7
 무성 경로당 ,경상남도 창원시 의창구 동읍 무성길47번길 1
 무성1구경로당 ,경상남도 창원시 의창구 동읍 무성길47번길 21
 무성1구남자경로당 ,경상남도 창원시 의창구 동읍 무성길 47번길 21
 무성부인 경로당 ,경상남도 창원시 의창구 동읍 무성길47번길 1
 무점 경로당 ,경상남도 창원시 의창구 동읍 무점길 88번길 21-12
 본포 경로당 ,경상남도 창원시 의창구 동읍 동읍로 1310번길 68
 봉강 경로당 ,경상남도 창원시 의창구 동읍 동읍로 1141번길 31
 봉곡 경로당 ,경상남도 창원시 의창구 동읍 동읍로 1057번길  51
 봉산경로당 ,경상남도 창원시 의창구 동읍 자여로 60번길 11
 산남 경로당 ,경상남도 창원시 의창구 동읍 봉강가술로 203
