표찰번호,주소,경도,위도
무역로-05 R-02,의창구 내리동 무역로,128.6292091,35.21867917
무역로-05 R-05,의창구 내리동 무역로,128.6277105,35.21774259
무역로-05 R-06,의창구 내리동 무역로,128.6271625,35.21742813
무역로-05 R-03,의창구 내리동 무역로,128.6286669,35.21833805
무역로-05 R-01,의창구 내리동 무역로,128.6296874,35.21898899
무역로-05 R-04,의창구 내리동 무역로,128.628247,35.21807333
무역로-05 L-03,의창구 내리동 무역로,128.6312174,35.21994142
무역로-05 L-01,의창구 내리동 무역로,128.6302236,35.21932367
무역로-05 L-05,의창구 내리동 무역로,128.6322561,35.22059193
무역로-05 L-02,의창구 내리동 무역로,128.6307351,35.21964422
무역로-05 L-04,의창구 내리동 무역로,128.6317328,35.22026135
무역로-05 L-06,의창구 팔용동 무역로459번길,128.6326612,35.22085292
무역로-05 L-06,의창구 팔용동 무역로459번길,128.6326612,35.22085292
무역로-06 R-04,의창구 내리동 무역로,128.6321434,35.22027756
무역로-06 R-02,의창구 내리동 무역로,128.6311304,35.21964047
무역로-06 R-01,의창구 내리동 무역로,128.6306319,35.21932934
무역로-06 R-03,의창구 내리동 무역로,128.6316353,35.21996072
무역로-06 R-05,의창구 내리동 무역로,128.6325985,35.22055646
무역로-06 L-04,의창구 내리동 무역로,128.6286203,35.21807554
무역로-06 L-02,의창구 내리동 무역로,128.6296255,35.21870415
무역로-06 L-06,의창구 내리동 무역로,128.6276103,35.21744141
무역로-06 L-01,의창구 내리동 무역로,128.63013,35.21901756
무역로-06 L-03,의창구 내리동 무역로,128.6291244,35.21839021
무역로-06 L-05,의창구 내리동 무역로,128.6281098,35.21775548
무역로-06 L-07,의창구 내리동 무역로,128.6270532,35.21716695
가술산단남로-01 R1-02,의창구 대산면 가술산단남로,128.7020001,35.33213282
가술산단남로-01 R1-07,의창구 대산면 가술산단남로,128.7029513,35.33154489
가술산단남로-01 R1-05,의창구 대산면 가술산단남로,128.7024756,35.33183877
가술산단남로-01 R1-03,의창구 대산면 가술산단남로,128.7020826,35.33206347
가술산단남로-01 R4-01,의창구 대산면 가술산단남로,128.7018787,35.33271478
가술산단남로-01 R4-02,의창구 대산면 가술산단남로,128.7021402,35.33299047
가술산단남로-01 R2-01,의창구 대산면 가술산단남로,128.701811,35.33246452
가술산단남로-01 R1-08,의창구 대산면 가술산단남로,128.7031875,35.33139862
가술산단남로-01 R1-01,의창구 대산면 가술산단남로,128.7017862,35.33226542
가술산단남로-01 R1-04,의창구 대산면 가술산단남로,128.7022378,35.33198623
가술산단남로-01 R1-06,의창구 대산면 가술산단남로,128.7027139,35.33169177
가술산단남로-01 R3-06,의창구 대산면 가술산단남로,128.7002195,35.33323623
가술산단남로-01 R3-04,의창구 대산면 가술산단남로,128.7007495,35.33290887
가술산단남로-01 R3-01,의창구 대산면 가술산단남로,128.7012774,35.33258375
가술산단남로-01 R3-02,의창구 대산면 가술산단남로,128.7011287,35.33267639
가술산단남로-01 R3-08,의창구 대산면 가술산단남로,128.6997446,35.33352855
가술산단남로-01 L-05,의창구 대산면 주남로503번길,128.7005916,35.3321015
가술산단남로-01 L-02,의창구 대산면,128.7012802,35.33211333
가술산단남로-01 R3-05,의창구 대산면 가술산단남로,128.7004746,35.33307837
가술산단남로-01 R3-03,의창구 대산면 가술산단남로,128.7010215,35.33274215
가술산단남로-01 R2-02,의창구 대산면 가술산단남로,128.7015328,35.33252331
가술산단남로-01 R3-09,의창구 대산면 가술산단남로,128.6995475,35.33365034
가술산단남로-01 R3-07,의창구 대산면 가술산단남로,128.6999566,35.33339819
가술산단남로-01 R4-01,의창구 대산면 가술산단남로,128.699547,35.33386333
가술산단남로-01 L-04,의창구 대산면 주남로503번길,128.7008386,35.33202106
가술산단남로-01 L-03,의창구 대산면 주남로503번길,128.7010299,35.33193382
가술산단남로-01 L-01,의창구 대산면,128.7014562,35.33229234
가술산단남로-02 R1-02,의창구 대산면 가술산단남로,128.6980699,35.33456339
가술산단남로-02 R1-04,의창구 대산면 가술산단남로,128.698518,35.33428589
가술산단남로-02 R1-06,의창구 대산면 가술산단남로,128.6990608,35.33395019
가술산단남로-02 R1-08,의창구 대산면,128.6990997,35.33350752
가술산단남로-02 R2-09,의창구 대산면 가술산단남로,128.6957079,35.33602282
가술산단남로-02 R2-07,의창구 대산면 가술산단남로,128.6961982,35.33571969
가술산단남로-02 R2-05,의창구 대산면 가술산단남로,128.6966854,35.33541896
가술산단남로-02 R2-03,의창구 대산면 가술산단남로,128.697222,35.33508644
가술산단남로-02 L-01,의창구 대산면,128.6973999,35.33457531
가술산단남로-02 R1-01,의창구 대산면 가술산단남로,128.6978645,35.33468953
가술산단남로-02 R1-03,의창구 대산면 가술산단남로,128.6982887,35.33442732
가술산단남로-02 R1-05,의창구 대산면 가술산단남로,128.6987986,35.33411272
가술산단남로-02 R1-07,의창구 대산면,128.6992625,35.33368643
가술산단남로-02 R3-01,의창구 대산면,128.6978473,35.33490759
가술산단남로-02 R1-09,의창구 대산면,128.6989349,35.33332669
가술산단남로-02 R1-10,의창구 대산면 주남로503번길,128.6986913,35.33331217
가술산단남로-02 R2-10,의창구 대산면 가술산단남로,128.695485,35.33616057
가술산단남로-02 R2-08,의창구 대산면 가술산단남로,128.6959481,35.33587357
가술산단남로-02 R2-06,의창구 대산면 가술산단남로,128.6964452,35.33556657
가술산단남로-02 R2-04,의창구 대산면 가술산단남로,128.6969432,35.33525866
가술산단남로-02 R2-02,의창구 대산면 가술산단남로,128.6974527,35.33494481
가술산단남로-02 R2-01,의창구 대산면,128.6975571,35.33473907
가술산단남로-02 L-03,의창구 대산면 주남로503번길,128.6968891,35.33434188
가술산단남로-02 L-02,의창구 대산면,128.6972422,35.33441259
가술산단동로-01 R-04,의창구 대산면 진산대로,128.7102823,35.33002087
가술산단동로-01 R-06,의창구 대산면 진산대로,128.7108006,35.32965166
가술산단동로-01 R-02,의창구 대산면 진산대로,128.7098084,35.33039849
가술산단동로-01 R-08,의창구 대산면 진산대로,128.7112936,35.32929602
가술산단동로-01 R-05,의창구 대산면 진산대로,128.7105279,35.32984216
가술산단동로-01 R-03,의창구 대산면 진산대로,128.7100427,35.33020754
가술산단동로-01 R-01,의창구 대산면 진산대로,128.7095986,35.33060451
가술산단동로-01 R-09,의창구 대산면 진산대로,128.7114597,35.32917568
가술산단동로-01 R-07,의창구 대산면 진산대로,128.7110585,35.32946694
