설치장소명,설치장소상세,설치시도명,설치시군구명,설치시설구분명,서비스제공사명,와이파이SSID,소재지도로명주소,소재지지번주소,관리기관명,WGS84위도,WGS84경도
도계체육공원,도계체육공원 내,경상남도,창원시,지역문화시설,창원시 의창구,Uichang free,"경상남도 창원시 의창구 도계두리길 199, 공중화장실 (도계동)",경상남도 창원시 의창구 도계동 389 공중화장실,창원시 의창구,35.25805556,128.6419444
도계체육공원,도계체육공원 내,경상남도,창원시,지역문화시설,창원시 의창구,Uichang-free,"경상남도 창원시 의창구 도계두리길 199, 공중화장실 (도계동)",경상남도 창원시 의창구 도계동 389 공중화장실,창원시 의창구,35.25777778,128.6422222
도계체육공원,도계체육공원 내,경상남도,창원시,지역문화시설,창원시 의창구,Uichang-free,"경상남도 창원시 의창구 도계두리길 199, 공중화장실 (도계동)",경상남도 창원시 의창구 도계동 389 공중화장실,창원시 의창구,35.25777778,128.6422222
사화공원,사화공원 야외무대,경상남도,창원시,지역문화시설,창원시 의창구,사화공원 공공와이파이,경상남도 창원시 의창구 중동남로 74(중동),경상남도 창원시 의창구 중동 794-11,창원시 의창구,35.251619,128.625222
사화공원,사화공원 경관뜰,경상남도,창원시,지역문화시설,창원시 의창구,사화공원 공공와이파이,경상남도 창원시 의창구 중동남로 74(중동),경상남도 창원시 의창구 중동 794-11,창원시 의창구,35.251865,128.63434
사화공원,사화공원 전망대(경관뜰),경상남도,창원시,지역문화시설,창원시 의창구,사화공원 공공와이파이,경상남도 창원시 의창구 중동남로 74(중동),경상남도 창원시 의창구 중동 794-11,창원시 의창구,35.251719,128.634685
사화공원,사화공원 전망대,경상남도,창원시,지역문화시설,창원시 의창구,사화공원 공공와이파이,경상남도 창원시 의창구 중동남로 74(중동),경상남도 창원시 의창구 중동 794-11,창원시 의창구,35.25123,128.625486
사화공원,사화공원 2 전시장,경상남도,창원시,지역문화시설,창원시 의창구,사화공원 공공와이파이,경상남도 창원시 의창구 중동남로 74(중동),경상남도 창원시 의창구 중동 794-11,창원시 의창구,35.251577,128.623853
사화공원,사화공원 식물원_2,경상남도,창원시,지역문화시설,창원시 의창구,사화공원 공공와이파이,경상남도 창원시 의창구 중동남로 74(중동),경상남도 창원시 의창구 중동 794-11,창원시 의창구,35.251783,128.632581
사화공원,사화공원 체험교육,경상남도,창원시,지역문화시설,창원시 의창구,사화공원 공공와이파이,경상남도 창원시 의창구 중동남로 74(중동),경상남도 창원시 의창구 중동 794-11,창원시 의창구,35.251738,128.62763
사화공원,사화공원 사업소,경상남도,창원시,지역문화시설,창원시 의창구,사화공원 공공와이파이,경상남도 창원시 의창구 중동남로 74(중동),경상남도 창원시 의창구 중동 794-11,창원시 의창구,35.252391,128.628709
사화공원,사화공원 물놀이터,경상남도,창원시,지역문화시설,창원시 의창구,사화공원 공공와이파이,경상남도 창원시 의창구 중동남로 74(중동),경상남도 창원시 의창구 중동 794-11,창원시 의창구,35.252333,128.631142
사화공원,사화공원 사업소 옆 보도,경상남도,창원시,지역문화시설,창원시 의창구,사화공원 공공와이파이,경상남도 창원시 의창구 중동남로 74(중동),경상남도 창원시 의창구 중동 794-11,창원시 의창구,35.252404,128.629465
사화공원,사화공원 3·4 전시장,경상남도,창원시,지역문화시설,창원시 의창구,사화공원 공공와이파이,경상남도 창원시 의창구 중동남로 74(중동),경상남도 창원시 의창구 중동 794-11,창원시 의창구,35.25114,128.624076
사화공원,사화공원 삼거리,경상남도,창원시,지역문화시설,창원시 의창구,사화공원 공공와이파이,경상남도 창원시 의창구 중동남로 74(중동),경상남도 창원시 의창구 중동 794-11,창원시 의창구,35.251843,128.627262
사화공원,사화공원 1전시장,경상남도,창원시,지역문화시설,창원시 의창구,사화공원 공공와이파이,경상남도 창원시 의창구 중동남로 74(중동),경상남도 창원시 의창구 중동 794-11,창원시 의창구,35.251858,128.623572
사화공원,사화공원 식물원_1,경상남도,창원시,지역문화시설,창원시 의창구,사화공원 공공와이파이,경상남도 창원시 의창구 중동남로 74(중동),경상남도 창원시 의창구 중동 794-11,창원시 의창구,35.252101,128.631823
사화공원,사화공원 39사단 전시관,경상남도,창원시,지역문화시설,창원시 의창구,사화공원 공공와이파이,경상남도 창원시 의창구 중동남로 74(중동),경상남도 창원시 의창구 중동 794-11,창원시 의창구,35.252371,128.630512
창원천,창원공고삼거리,경상남도,창원시,기타,창원시 성산구,homeplus,,경상남도 창원시 의창구 명서동 503,경상남도 창원시 성산구,35.23576,128.646
창원천,두대삼거리,경상남도,창원시,기타,창원시 성산구,hyundaiAPT,,경상남도 창원시 의창구 대원동 46,경상남도 창원시 성산구,35.23659,128.6497
창원천,대원교옆,경상남도,창원시,기타,창원시 성산구,myeonggog,,경상남도 창원시 대원동 502,경상남도 창원시 성산구,35.2392,128.6502
창원천,명곡광장사거리,경상남도,창원시,기타,창원시 성산구,changwonH,,경상남도 창원시 의창구 명서동 199-10,경상남도 창원시 성산구,35.24183,128.6504
창원천,창원천로166번길2 앞,경상남도,창원시,기타,창원시 성산구,yumoggyo,,경상남도 창원시 성산구 반지동 508-4,경상남도 창원시 성산구,35.24358,128.6579
창원천,창원천2교옆,경상남도,창원시,기타,창원시 성산구,jigwi,,경상남도 창원시 의창구 봉곡동 502-1,경상남도 창원시 성산구,35.24457,128.6589
창원천,반송까치아파트101동 앞,경상남도,창원시,기타,창원시 성산구,kkachisanAPT,,경상남도 창원시 성산구 반지동 511-2,경상남도 창원시 성산구,35.2422,128.6656
창원천,봉곡로124번길5-1 대로 건너편,경상남도,창원시,기타,창원시 성산구,utopia,,경상남도 창원시 의창구 봉곡동 502-37,경상남도 창원시 성산구,35.24549,128.6716
창원천,봉림교옆,경상남도,창원시,기타,창원시 성산구,daedongP,,경상남도 창원시 의창구 봉곡동 502-37,경상남도 창원시 성산구,35.24549,128.6716
창원천,봉림중삼거리,경상남도,창원시,기타,창원시 성산구,bonglim,,경상남도 창원시 의창구 사림동 510,경상남도 창원시 성산구,35.24391,128.6764
창원천,사림로4번길32 대로 건너편,경상남도,창원시,기타,창원시 성산구,bonglim,,경상남도 창원시 의창구 사림동 510,경상남도 창원시 성산구,35.24391,128.6764
창원천,사림민원센터 건너편,경상남도,창원시,기타,창원시 성산구,salim,,경상남도 창원시 의창구 사림동 501-26,경상남도 창원시 성산구,35.24261,128.6806
창원천,퇴촌2호교옆,경상남도,창원시,기타,창원시 성산구,changwonUNIV,,경상남도 창원시 의창구 사림동 501-19,경상남도 창원시 성산구,35.24308,128.6864
창원천,퇴촌4호교옆,경상남도,창원시,기타,창원시 성산구,changwonUNIV3,,경상남도 창원시 의창구 사림동 501-11,경상남도 창원시 성산구,35.24093,128.6858
감계3호근린공원(물놀이장),감계3호근린공원(물놀이장),경상남도,창원시,편의시설,KT,Public WiFi,,경상남도 창원시 의창구 북면 감계리  237-1,창원시청,35.30061531,128.5938863
창원역(스타벅스앞),버스정류장,경상남도,창원시,교통시설,KT,Public WiFi,경상남도 창원시 의창구 의창대로70번길 1,경상남도 창원시 의창구 팔용동 162-9,창원시청,35.25732741,128.608146
마금산온천족욕체험장,마금산온천족욕체험장,경상남도,창원시,관광,KT,Public WiFi,경상남도 창원시 의창구 북면 천주로1170번길 24,경상남도 창원시 의창구 북면 신촌리 1462-1,창원시청,35.35340641,128.6113972
도계동(한마음아파트방면),버스정류장,경상남도,창원시,교통시설,KT,Public WiFi,경상남도 창원시 의창구 도계로 37,경상남도 창원시 의창구 도계동 327-14,창원시청,35.26082215,128.636441
도계주유소(도계동.의창스포츠센터방면),버스정류장,경상남도,창원시,교통시설,KT,Public WiFi,경상남도 창원시 의창구 태복산로3번길 39,경상남도 창원시 의창구 도계동 404-2,창원시청,35.25520134,128.6364725
도계동.의창스포츠센터(도계주유소방면),버스정류장,경상남도,창원시,교통시설,KT,Public WiFi,,경상남도 창원시 의창구 도계동   458-2,창원시청,35.25614456,128.6348385
도계주유소(서부경찰서.원흥사방면),버스정류장,경상남도,창원시,교통시설,KT,Public WiFi,,경상남도 창원시 의창구 도계동   458-3,창원시청,35.25404889,128.6366222
창원농기계임대사업소(농업기술센터),창원농기계임대사업소(농업기술센터) 사무실,경상남도,창원시,관공서,KT,Public WiFi,경상남도 창원시 의창구 동읍 봉강가술로 70,경상남도 창원시 의창구 동읍 봉곡리 176-1,창원시청,35.35289675,128.6643563
창원단감테마공원,창원단감테마공원,경상남도,창원시,관광,KT,Public WiFi,경상남도 창원시 의창구 동읍 동읍로359번길 27,경상남도 창원시 의창구 동읍 화양리 665,창원시청,35.29915551,128.6632474
명서다리.명곡교회(명서동허앤리병원방면),버스정류장,경상남도,창원시,교통시설,KT,Public WiFi,경상남도 창원시 의창구 우곡로3번길 83,경상남도 창원시 의창구 명서동 131-4,창원시청,35.24584262,128.6435454
